iter	Passed	Remaining
0	149	149043
1	150	74920
2	151	50217
3	151	37819
4	152	30372
5	153	25395
6	154	21846
7	154	19218
8	155	17145
9	156	15484
10	157	14141
11	158	13037
12	159	12099
13	160	11276
14	160	10568
15	161	9942
16	162	9394
17	163	8907
18	164	8467
19	164	8069
20	165	7714
21	166	7388
22	166	7092
23	167	6819
24	168	6569
25	169	6334
26	169	6117
27	170	5918
28	171	5729
29	171	5554
30	173	5423
31	174	5280
32	175	5136
33	176	5004
34	176	4878
35	177	4756
36	178	4643
37	179	4533
38	179	4434
39	180	4335
40	181	4241
41	182	4153
42	182	4069
43	183	3992
44	184	3917
45	185	3843
46	186	3773
47	187	3710
48	188	3654
49	189	3592
50	189	3531
51	190	3475
52	191	3419
53	192	3365
54	192	3312
55	193	3262
56	194	3216
57	195	3174
58	196	3135
59	197	3096
60	198	3053
61	199	3011
62	199	2970
63	200	2931
64	201	2892
65	202	2860
66	203	2827
67	203	2794
68	204	2761
69	205	2728
70	206	2697
71	207	2668
72	207	2639
73	208	2610
74	209	2582
75	210	2553
76	210	2526
77	211	2499
78	212	2473
79	212	2446
80	213	2420
81	214	2396
82	214	2368
83	215	2345
84	215	2321
85	216	2300
86	217	2283
87	218	2266
88	219	2247
89	220	2227
90	221	2207
91	221	2188
92	222	2169
93	223	2152
94	223	2133
95	224	2116
96	225	2099
97	226	2083
98	227	2067
99	227	2051
100	228	2034
101	229	2019
102	230	2004
103	232	2002
104	233	1993
105	234	1981
106	235	1968
107	236	1954
108	237	1939
109	237	1925
110	238	1911
111	239	1898
112	240	1885
113	240	1872
114	241	1859
115	242	1847
116	243	1834
117	243	1822
118	244	1812
119	246	1806
120	247	1798
121	248	1786
122	248	1775
123	249	1764
124	250	1756
125	251	1746
126	252	1734
127	253	1724
128	253	1714
129	254	1704
130	255	1694
131	256	1685
132	257	1675
133	257	1665
134	258	1655
135	259	1651
136	260	1643
137	261	1635
138	262	1625
139	263	1616
140	263	1607
141	264	1596
142	264	1588
143	265	1578
144	266	1570
145	267	1562
146	267	1553
147	268	1545
148	269	1538
149	270	1530
150	270	1522
151	271	1515
152	272	1508
153	273	1501
154	274	1495
155	275	1489
156	276	1483
157	277	1476
158	277	1470
159	278	1463
160	279	1455
161	279	1447
162	280	1440
163	281	1434
164	282	1428
165	282	1421
166	283	1414
167	284	1407
168	284	1401
169	285	1395
170	286	1389
171	287	1384
172	288	1377
173	289	1374
174	290	1369
175	291	1364
176	292	1358
177	292	1352
178	293	1347
179	294	1341
180	295	1336
181	296	1331
182	297	1326
183	297	1320
184	298	1314
185	299	1309
186	299	1303
187	300	1298
188	301	1292
189	302	1288
190	302	1283
191	304	1282
192	305	1278
193	306	1273
194	307	1269
195	308	1264
196	308	1259
197	309	1254
198	310	1249
199	311	1244
200	311	1239
201	312	1234
202	313	1230
203	314	1226
204	314	1221
205	315	1216
206	316	1213
207	317	1209
208	319	1210
209	320	1207
210	321	1202
211	322	1198
212	323	1193
213	323	1189
214	324	1185
215	325	1181
216	326	1177
217	327	1173
218	327	1169
219	328	1165
220	329	1161
221	330	1158
222	331	1155
223	332	1151
224	333	1147
225	334	1145
226	335	1141
227	336	1138
228	337	1134
229	338	1131
230	339	1128
231	340	1125
232	340	1122
233	341	1118
234	342	1115
235	343	1112
236	344	1108
237	345	1104
238	345	1101
239	346	1097
240	347	1093
241	347	1089
242	349	1087
243	350	1084
244	350	1081
245	351	1078
246	353	1076
247	353	1073
248	355	1070
249	356	1068
250	357	1065
251	358	1062
252	358	1059
253	359	1056
254	360	1053
255	361	1051
256	363	1050
257	364	1047
258	365	1045
259	366	1042
260	367	1039
261	368	1036
262	368	1033
263	369	1030
